#Fri Nov  8 19:02:09 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               24              11               0               0
              11           44.92           8.385
              12          -66.91             9.9
              13          0.3733           7.787
              14           47.79           8.569
              15            49.9           8.773
              16          -96.39           9.441
              17          -32.63           7.458
              18           14.07           14.17
              19           55.12           7.446
              20          -92.87           7.956
              21          -44.18           7.287
              22           9.213            9.07
              23           66.51           6.934
              24          -56.17           8.256
              25          -1.317           7.136
              26           47.22           7.634
              27            60.9           7.817
              28          -48.73           7.721
              29           7.087           8.538
              30           39.39            7.19
              31           54.67           7.908
              32          -96.72           8.597
              33          -36.37           8.104
              34            12.5            12.1
              35           44.91           9.091
              36          -88.56            8.04
              37          -32.22           7.645
              38           18.23           9.185
              39           65.89           9.292
              40           -58.2            7.51
              41           13.24           7.323
              42           29.84           9.266
              43           44.05           8.745
              44           -62.4           8.899
              45           10.47           8.292
              46           31.96           7.885
              47           56.28           9.247
              48          -93.24             9.4
              49          -37.23           7.517
              50           2.023           11.45
              51           37.46           7.564
              52          -91.36           8.036
              53          -20.44           7.497
              54           15.58            8.19
              55           68.55           7.416
              56          -53.42           7.805
              57           -3.49           7.759
              58           43.29           7.686
              59           37.92           6.957
              60          -40.62           7.321
              61          -15.38           9.297
              62           37.89           6.696
              63           57.91           8.737
              64          -86.25           8.273
              65          -14.22           7.203
              66            8.17           12.04
              67           47.88            9.18
              68          -78.71            8.34
              69           -3.74           7.519
              70           39.42           10.39
              71           57.68           8.528
              72          -71.24           8.417
              73           7.997           7.191
              74           34.34           8.301
              75           58.11           8.852
              76          -40.22            7.76
              77           6.377           7.695
              78           53.58           8.009
              79           62.46           9.323
              80          -112.4           9.737
              81          -22.69           6.781
              82          0.8067           10.25
              83            30.6            6.98
              84          -65.02           8.319
              85          -2.733           6.846
              86           35.47           7.931
              87           45.78           7.269
              88          -54.29           7.717
              89           2.173           7.589
              90           34.76           7.058
              91           53.27           7.482
              92          -44.87           7.383
              93          -16.36           9.329
              94           28.99           6.903
              95           57.42           8.606
              96          -112.4           8.395
              97           -1.75           7.709
              98              15           11.26
              99           51.32           9.598
             100          -67.36           7.355
             101          -7.453           7.166
             102           25.47           8.992
             103           60.12           8.162
             104          -50.68           8.652
             105          -12.09            7.68
             106           34.71           8.535
             107              39           8.997
             108          -28.82           7.584
             109           -8.56           7.667
             110           60.72           8.747
             111           81.85           9.033
             112          -90.73           9.024
             113          -19.52           7.027
             114           21.14            9.64
             115           63.06           7.039
             116           -60.1           7.538
             117          -11.79           6.982
             118           18.76           7.143
             119            60.6           7.585
             120          -46.89           7.039
