#Fri Jan 31 14:34:14 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               9           8.905            8.72
              10           37.19           8.894
              11           36.32           8.786
              12          -24.56           9.462
              13          -14.63           7.868
              14           20.32           8.904
              15           27.17           8.839
              16          -62.66           8.336
              17          -13.74           7.177
              18           17.09           13.66
              19          -1.053           7.388
              20          -74.63           8.234
              21          -28.56           7.346
              22           15.32           8.639
              23           23.59           6.903
              24          -42.86           7.867
              25          -16.73           7.628
              26           42.99            7.58
              27           36.82            7.94
              28          -26.15           7.505
              29          -6.007           9.077
              30           21.95           7.296
              31           47.91           8.413
              32          -72.48           8.128
              33          -14.64           8.235
              34           31.61           11.68
              35           7.222           8.285
              36          -83.49           8.366
              37          -27.07           7.617
              38           43.86           9.152
              39           23.18           9.124
              40          -39.91           7.694
              41         -0.4767           7.182
              42           20.61           9.954
              43            16.7           8.504
              44          -32.27           8.625
              45            1.74           8.684
              46           25.07           8.013
              47           35.42            9.28
              48          -45.76           8.485
              49          -23.29            7.35
              50           21.59           11.16
              51           8.383           7.343
              52          -63.57           7.875
              53           10.51           7.237
              54           14.21           8.225
              55           44.06           6.815
              56          -34.43            7.47
              57          -31.38           8.027
              58           21.62           7.385
              59           27.36           7.558
              60          -30.34           6.869
              61           2.327           9.705
              62           34.26           6.785
              63           49.14           8.112
              64          -69.32           8.079
              65          -24.57           8.797
              66           51.28           11.81
              67           38.85           8.733
              68           -54.3            8.26
              69          -5.083           8.171
              70           43.61           10.41
              71           38.62           8.305
              72           -39.9           7.829
              73           5.073           8.042
              74           34.33            8.63
              75           29.83           8.349
              76          -40.04           8.006
              77           5.073           7.553
              78           16.23           7.957
              79           40.35           9.024
              80          -74.92           8.681
              81          -29.31           7.139
              82           29.94           9.873
              83            19.8           6.648
              84          -52.52           8.127
              85          -12.04           6.965
              86           31.16           8.112
              87           30.15           6.832
              88          -39.33           6.887
              89           13.75           7.945
              90           33.36           7.088
              91           35.25           7.531
              92          -23.47           7.203
              93           14.92           9.451
              94           13.84           7.142
              95            42.3           8.798
              96          -73.86            8.35
              97          -7.082           7.237
              98           42.17           11.22
              99           13.07           9.233
             100          -75.05           8.061
             101           -11.3           7.103
             102           39.41           9.184
             103           25.63           8.412
             104           -54.8           8.217
             105          -15.32           10.15
             106           39.33           8.346
             107           45.51           8.795
             108          -31.82           8.038
             109           26.67            8.14
             110           35.88           8.806
             111           63.81           9.603
             112          -53.99            8.03
             113          -8.512           6.879
             114           36.65           8.838
             115           24.87           6.674
             116          -54.27           7.598
             117          -3.327           7.227
             118           18.97            7.57
             119           21.48           6.753
             120          -17.74           7.158
             121           0.875            8.06
             122           14.35           6.888
             123           14.57           7.771
             124          -21.73           6.834
             125          -16.98           11.61
             126           34.45           6.766
             127           64.64           9.458
APV               58              11               0               3
               0           71.31           29.64
               1           8.862            24.6
               2           32.19           22.02
               3           -8.55           21.93
               4          -137.2           9.508
               5          -31.18           9.184
               6          -20.11            12.9
               7            3.56            9.86
               8          -48.55            8.17
               9          -4.038           9.535
              10           24.01           9.808
              11          -1.417           9.352
              12          -48.88           9.037
              13           4.475           8.626
              14           35.58           9.232
              15           12.63           9.943
              16          -55.86           8.629
              17          -26.05           7.456
              18          -1.462           15.43
              19           5.207           7.455
              20          -38.45            8.87
              21          -13.58             7.8
              22           2.992           9.784
              23           26.74           7.276
              24          -38.16           8.219
              25           23.69           7.832
              26           9.522               8
              27           12.25           7.841
              28           6.385            7.33
              29           -28.8           9.072
              30           13.07           7.357
              31           21.34           8.584
              32          -32.89           8.999
              33          -22.16           8.288
              34           18.38           9.518
              35           23.57           9.588
              36          -41.63           8.477
              37           3.608            7.94
              38           10.88           9.692
              39           20.02           9.273
              40          -39.53           8.483
              41          -3.155           7.981
              42           19.39           10.53
              43           19.52           9.458
              44         -0.9767            9.53
              45           3.125           9.593
              46           42.68            8.39
              47           40.55           9.517
              48          -42.48           8.822
              49           -11.8           7.778
              50           7.957           12.65
              51           10.73           7.028
              52          -59.27            8.13
              53          -21.17           7.412
              54          -6.677           9.297
              55           32.68           7.323
              56          -37.63           7.695
              57          -4.158           8.544
              58           44.27           7.916
              59           14.36           7.757
              60          -30.63           7.592
              61           28.13           9.971
              62            39.8           7.319
              63           25.87           9.011
              64          -64.63           8.883
              65           -23.3           9.767
              66           30.51           12.09
              67           19.98           9.448
              68          -44.68           8.085
              69          -1.482           9.675
              70           10.51            10.4
              71            30.2           8.347
              72          -38.62            8.54
              73          -5.053           8.449
              74            41.7            9.69
              75           7.652           9.232
              76          -25.45           8.658
              77           7.475           8.324
              78           11.38           8.586
              79            24.3           9.632
              80          -41.29           9.145
              81           7.413           7.409
              82           18.89           10.99
              83           24.13           7.372
              84           -44.5           8.419
              85          -5.632           7.294
              86           2.668           8.284
              87           6.885           6.823
              88          -19.06            7.57
              89          -22.09           8.606
              90           28.51           7.501
              91           22.59            7.35
              92           -9.54           7.309
              93          -21.59           10.57
              94           49.41           7.167
              95           35.16           9.382
              96          -57.18           8.191
              97          -7.647           7.627
              98           27.99           11.39
              99            0.68           9.504
             100          -53.27           7.975
             101          -16.88            7.88
             102           24.24           9.812
             103           25.18             8.7
             104          -3.215           8.822
             105           8.987            10.8
             106            42.1           9.386
             107           25.69           9.399
             108          -24.07           8.161
             109           -2.29           9.308
             110           44.98           8.919
             111           32.46           9.971
             112          -72.19           8.754
             113            1.69           8.178
             114           10.54           9.773
             115           32.88           6.823
             116          -43.38           8.355
             117          -8.328           7.387
             118           30.84            8.25
             119           7.098           7.137
             120          -32.79           7.756
             121          -13.55           8.274
             122           38.96           7.132
             123           13.42           8.457
             124          -23.55           7.045
             125           4.053           12.69
             126           33.77             6.8
             127           79.11            10.5
APV               58              11               0               4
               0           55.76           30.24
               1          -30.88           26.07
               2           -26.8           23.47
               3           15.66           23.33
               4          -142.1           9.605
               5          -63.18           8.739
               6          -13.99           11.75
               7           25.02           8.817
               8          -64.17           7.601
               9          -30.21           8.182
              10           7.585           8.795
              11            57.7           8.728
              12          -50.55           8.649
              13          -30.59           8.107
              14           14.53           7.993
              15            62.6           8.634
              16          -33.25           8.523
              17          -30.07           7.105
              18          -26.76           13.94
              19           42.85           7.642
              20           -68.1           8.022
              21          -13.92           7.329
              22           -22.9           9.119
              23           52.34           7.276
              24          -53.93           7.679
              25          -30.87           7.685
              26           20.97            7.93
              27           65.15           7.367
              28          -43.99           7.452
              29          -33.22           8.886
              30           13.43           7.593
              31           85.74           8.198
              32          -41.84           8.264
              33          -36.54           8.263
              34          -8.353           8.753
              35           37.48           8.376
              36          -60.49           7.956
              37          -46.44           7.916
              38           25.27           8.821
              39              64           8.494
              40           -33.1           8.456
              41           -18.4           7.534
              42            20.9           9.217
              43            62.6           8.943
              44          -39.87           9.264
              45          -10.01           9.164
              46           16.37           8.185
              47           87.78           9.132
              48             -44           8.974
              49          -43.33            7.33
              50          -8.303           11.59
              51           15.76           7.045
              52          -49.27           8.122
              53          -54.35           7.461
              54          -9.792           8.923
              55            60.4           7.198
              56          -36.61           7.595
              57          -12.69           8.237
              58           29.35           8.122
              59           69.09           7.779
              60           -44.5           7.241
              61          -34.72           9.525
              62           32.53           7.547
              63           83.82            8.24
              64           -42.9           8.194
              65          -54.66           9.056
              66            12.8           11.73
              67            38.2           9.396
              68          -50.57           8.084
              69          -16.45            7.79
              70          -1.338             9.7
              71           32.37           8.149
              72          -20.42           8.186
              73          -28.66           7.536
              74           17.15           8.863
              75           69.35           9.036
              76          -39.02           8.218
              77          -13.69           7.546
              78           12.53           8.288
              79           101.8           9.162
              80          -56.78            8.53
              81          -47.06           6.768
              82           4.257           10.13
              83           35.78           7.439
              84          -61.12           8.377
              85          -32.33           7.091
              86           3.395           8.064
              87            49.6           7.165
              88          -58.99            7.52
              89          -18.51           8.136
              90           34.94           7.858
              91           71.45           7.628
              92          -28.81           6.764
              93          -34.47           9.927
              94           44.43           7.158
              95           101.8           8.734
              96          -40.76           8.226
              97          -44.71            7.82
              98           17.91           11.04
              99           49.85           9.166
             100          -42.37           7.941
             101          -38.16           7.075
             102            4.39           9.079
             103            79.7           8.257
             104          -36.54           8.744
             105          -14.99           10.19
             106           21.47            8.44
             107           69.52           8.917
             108          -49.04           8.561
             109          -18.37             8.7
             110           38.79           8.918
             111           116.2           9.792
             112          -49.46           8.706
             113          -31.96           7.155
             114             0.4           9.213
             115           56.14           7.279
             116          -41.25           7.791
             117          -23.61           7.011
             118           15.87           7.756
             119            69.5           7.083
             120          -30.04           7.398
             121          -15.96           7.977
             122           36.27           7.587
             123           61.79           7.995
             124           -45.7           6.816
             125           -21.5           12.35
             126           38.15           7.762
             127           161.9           10.23
APV               58              11               0               5
               0           37.59           32.22
               1           -17.5           27.24
               2           7.723           25.46
               3           16.03           24.88
               4          -188.2           10.19
               5          -40.54           8.873
               6           6.227           11.88
               7           20.25           9.446
               8          -110.7           7.645
               9          -28.11           8.549
              10           62.37           9.401
              11           66.21           9.192
              12          -78.49           9.294
              13           4.912           8.151
              14           55.25           8.776
              15           45.23           8.885
              16          -73.95           8.504
              17          -54.05           7.228
              18           19.93           14.63
              19           32.89           7.442
              20          -88.97           7.934
              21          -37.35           7.343
              22           1.602            8.54
              23           61.49           7.162
              24          -101.7           7.756
              25           -12.4           7.867
              26           34.58           7.943
              27           50.73           7.787
              28          -85.48           7.186
              29           1.527           8.538
              30           47.89           7.772
              31           63.13           8.292
              32          -57.96           8.169
              33          -48.12           8.545
              34           20.65           9.194
              35           58.38           8.833
              36          -105.3           7.803
              37          -18.49             7.7
              38           29.31           9.244
              39           81.24           8.846
              40          -101.3           8.887
              41         -0.4817           7.594
              42           60.48           9.704
              43           63.53           8.422
              44          -94.21           8.879
              45           31.02           8.988
              46           61.02           8.024
              47           64.84           9.624
              48          -82.69           8.396
              49          -56.11           7.414
              50           12.16           11.79
              51           71.41           7.424
              52          -91.62           7.983
              53          -30.45           7.312
              54           23.47           8.455
              55           70.02           7.049
              56          -76.19           7.542
              57          -4.183           7.496
              58           46.23           7.926
              59           57.51           7.989
              60           -68.8           7.132
              61           32.48           9.603
              62           50.86           7.314
              63           85.97           8.527
              64          -89.81           8.392
              65          -45.59           9.505
              66           25.76           11.46
              67           59.19           8.942
              68          -106.8           7.907
              69          -28.49           7.953
              70           42.34           10.53
              71           55.55           8.747
              72          -86.69           8.113
              73            1.01           8.186
              74           69.43           9.605
              75           79.64           8.836
              76          -58.45            8.54
              77           13.18           7.973
              78           63.68           8.277
              79           63.99           10.58
              80          -86.02           8.089
              81          -29.92           6.922
              82           21.42           9.756
              83           34.08           7.019
              84          -84.78           7.838
              85          -25.16           7.465
              86           8.308           8.131
              87           57.53           7.556
              88          -78.61            7.49
              89          -18.16           7.896
              90           47.77           7.145
              91           59.85           8.036
              92          -77.36           7.317
              93           14.78           9.086
              94           57.67           7.264
              95           95.19           9.409
              96          -100.3           8.114
              97          -48.19           7.538
              98           28.51           11.43
              99           59.18           9.857
             100          -99.34           7.935
             101          -19.66           7.343
             102           51.89           9.548
             103           56.33           8.781
             104          -79.09           8.561
             105            1.63           10.27
             106           57.74           8.832
             107           72.53           8.561
             108          -77.25           7.779
             109           16.47           8.364
             110            58.3           8.904
             111           96.24           9.908
             112          -91.36            7.85
             113          -34.79           7.096
             114           21.59           8.955
             115            49.7           7.245
             116          -112.5           7.915
             117          -38.68           7.452
             118           29.07           7.804
             119           61.08           7.196
             120          -85.55           7.267
             121          -8.267           7.521
             122           59.68           7.209
             123           54.08           8.147
             124          -52.97           7.123
             125           9.422           10.65
             126           76.67           7.611
             127           132.8           10.15
APV               58              11               0               6
               0            87.3           34.56
               1           12.73           27.92
               2          -4.042           25.22
               3          -12.24            24.6
               4          -146.2           10.08
               5          -38.94            9.05
               6           -18.8           11.46
               7           18.93           9.527
               8          -33.99           7.898
               9            8.43           8.531
              10           -0.04           8.483
              11           49.07           8.913
              12          -33.51            8.67
              13          -13.54           8.022
              14           2.363           8.158
              15           48.93           9.712
              16           -44.2           8.534
              17          -17.87           7.391
              18          -5.945           13.31
              19            19.1           7.582
              20          -46.29           8.775
              21          -22.67           7.355
              22          -2.408           8.747
              23           25.32           7.513
              24          -52.69           8.112
              25          -12.65           7.445
              26          0.1683           7.699
              27           27.86           7.752
              28           -32.9            7.74
              29          -10.41           8.396
              30           30.75           7.493
              31           63.95           14.47
              32          -45.61           8.733
              33          -17.77           8.906
              34           7.502           8.493
              35           18.56           8.358
              36          -19.08           8.369
              37          -28.82           7.598
              38           6.377           8.699
              39           47.04           9.077
              40          -44.29           8.203
              41          -19.19           7.536
              42           12.13           9.503
              43           51.59           8.945
              44          -24.88           9.228
              45           5.223           8.409
              46           15.75           7.976
              47           63.62           9.785
              48          -23.97           8.754
              49          -6.832           7.496
              50          -22.47           10.68
              51           29.18           7.348
              52          -24.79           8.143
              53          -15.45           7.259
              54          -0.465           8.171
              55           37.52           7.188
              56          -38.77           7.987
              57          -20.89           7.478
              58           26.55           7.877
              59           42.85            8.06
              60          -19.71           7.542
              61          -13.52           9.236
              62           8.223           7.125
              63           67.08           9.444
              64          -44.95           8.429
              65          -9.215           9.398
              66           7.923           11.04
              67           30.43           9.203
              68          -28.65           8.135
              69          -10.78           8.413
              70         -0.6067           9.443
              71           39.42           8.718
              72          -53.84           8.103
              73          -34.26           7.818
              74           8.882           8.912
              75           51.18           8.733
              76          -34.66           8.178
              77           5.742           7.768
              78           13.23           8.081
              79           78.37            9.79
              80          -28.99             9.3
              81          -44.84           7.657
              82          -22.98           9.454
              83           7.365            7.31
              84          -23.98           8.395
              85          -12.14           7.055
              86           2.265           7.583
              87           59.59           7.782
              88          -42.01           7.346
              89           -21.2            7.46
              90           17.33           7.158
              91           38.58           8.264
              92          -44.43           7.117
              93          -14.98           8.922
              94           11.44           7.198
              95           66.92           9.828
              96          -24.33           8.196
              97          -17.16           7.648
              98            3.13           10.16
              99           23.73           9.432
             100          -25.49            8.25
             101          -10.39            7.33
             102            21.3           9.084
             103           28.14           9.117
             104          -48.27           8.922
             105          -5.148           9.434
             106          -6.578           12.56
             107           52.48           8.745
             108          -40.13           8.503
             109           2.133           7.822
             110           32.09           8.918
             111           96.27           10.28
             112          -32.21           8.847
             113          -13.83           7.228
             114          -4.683           8.137
             115           15.58           7.607
             116          -59.07           8.113
             117           -23.6           7.123
             118           5.235           7.677
             119           52.74           8.013
             120          -32.83           7.828
             121          -17.99           8.058
             122          0.5633           7.058
             123           58.78           8.411
             124          -28.98           7.239
             125           -20.6           10.82
             126           36.34           7.607
             127           116.1           10.91
APV               58              11               0               7
               0           87.24           34.64
               1          -8.078           29.21
               2          -19.44           27.43
               3           9.512           25.47
               4          -172.3           13.53
               5          -43.12           8.669
               6          -21.45            10.5
               7           33.04           10.19
               8          -53.06           8.367
               9          -42.62           10.92
              10           5.232           8.438
              11           56.26           10.12
              12          -44.12           8.685
