#Sun Feb  9 11:36:29 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = crate, slot, mpd, adc_ch, CM min, CM max
          58          11          12           0         526         616
          58          11          12           1         646         734
          58          11          12           2         588         674
          58          11          12           3         627         712
          58          11          12           4         719         815
          58          11          12           5         682         769
          58          11          12           6         632         716
          58          11          12           7         701         779
          58          11          12           8         620         697
          58          11          12           9         507         581
          58          11          12          10         457         537
          58          11          12          11         612         719
          58          11          16          10         379         494
          58          11          16          11         453         551
          58          11          16          12         429         529
          58          11          16          13         433         536
          58          11          16          14         261         363
          58          11          17           0         406         516
          58          11          17           1         508         613
          58          11          17           2         543         655
          58          11          17           3         512         602
          58          11          17           4         499         587
          58          11          13           0         432         540
          58          11          13           1         400         478
          58          11          13           2         488         585
          58          11          13           3         561         640
          58          11          13           4         334         402
          58          11          13           5         477         553
          58          11          13           6         494         590
          58          11          13           7         568         647
          58          11          13           8         378         463
          58          11          13           9         473         553
          58          11          13          10         361         438
          58          11          13          11         425         521
          58          11          16           5         335         430
          58          11          16           6         389         490
          58          11          16           7         450         532
          58          11          16           8         255         354
          58          11          16           9         462         557
          58          11          17           5         604         690
          58          11          17           6         577         652
          58          11          17           7         574         675
          58          11          17           8         618         703
          58          11          17           9         524         635
          58          11          14           0         288         375
          58          11          14           1         373         449
          58          11          14           2         267         363
          58          11          14           3         355         436
          58          11          14           4         360         434
          58          11          14           5         404         480
          58          11          14           6         449         537
          58          11          14           7         487         559
          58          11          14           8         517         600
          58          11          14           9         337         403
          58          11          14          10         383         458
          58          11          14          11         333         431
          58          11          16           0         509         601
          58          11          16           1         427         511
          58          11          16           2         311         409
          58          11          16           3         428         512
          58          11          16           4         321         411
          58          11          17          10         395         498
          58          11          17          11         307         402
          58          11          17          12         248         336
          58          11          17          13         448         546
          58          11          17          14         380         479
          58          11          15           0         516         640
          58          11          15           1         441         525
          58          11          15           2         470         558
          58          11          15           3         416         496
          58          11          15           4         518         601
          58          11          15           5         467         544
          58          11          15           6         524         613
          58          11          15           7         412         488
          58          11          15           8         350         419
          58          11          15           9         596         681
          58          11          15          10         375         449
          58          11          15          11         396         498
          58          11          18           0         396         526
          58          11          18           1         266         365
          58          11          18           2           0           0
          58          11          18           3         374         464
          58          11          18           4         345         436
          58          11          18           8         537         635
          58          11          18           9         451         546
          58          11          18          10         471         567
          58          11          18          11         540         638
          58          11          18          12         431         518
          58          11          19           0         378         498
          58          11          19           1         469         549
          58          11          19           2         482         571
          58          11          19           3         457         579
          58          11          19           4         504         586
          58          11          19           5         587         670
          58          11          19           6         674         765
          58          11          19           7         520         604
          58          11          19           8         501         592
          58          11          19           9         498         588
          58          11          19          10         495         580
          58          11          19          11         603         705
          20          11          15          10         503         614
          20          11          15          11         531         641
          20          11          15          12         370         476
          20          11          15          13         360         467
          20          11          15          14         467         549
          58          11          20           0         420         512
          58          11          20           1         492         592
          58          11          20           2         334         433
          58          11          20           3         317         415
          58          11          20           4         420         514
          20          11          12           0         570         673
          20          11          12           1         571         653
          20          11          12           2         495         603
          20          11          12           3         618         718
          20          11          12           4         525         622
          20          11          12           5         529         634
          20          11          12           6         583         674
          20          11          12           7         541         658
          20          11          12           8         500         598
          20          11          12           9         447         542
          20          11          12          10         544         635
          20          11          12          11         434         549
          20          11          15           5         559         681
          20          11          15           6         528         650
          20          11          15           7         415         522
          20          11          15           8         544         643
          20          11          15           9         516         627
          58          11          20           5         366         473
          58          11          20           6         292         386
          58          11          20           7         460         551
          58          11          20           8         520         643
          58          11          20           9         459         547
          20          11          13           0         505         623
          20          11          13           1         456         616
          20          11          13           2         399         498
          20          11          13           3         305         385
          20          11          13           4         400         465
          20          11          13           5         548         626
          20          11          13           6         488         578
          20          11          13           7         555         657
          20          11          13           8         392         473
          20          11          13           9         310         381
          20          11          13          10         573         664
          20          11          13          11         419         526
          20          11          15           0         321         407
          20          11          15           1         540         627
          20          11          15           2         567         668
          20          11          15           3         441         526
          20          11          15           4         461         540
          58          11          20          10         490         576
          58          11          20          11         476         561
          58          11          20          12         399         496
          58          11          20          13         277         362
          58          11          20          14         256         340
          20          11          14           0         618         725
          20          11          14           1         487         575
          20          11          14           2         631         727
          20          11          14           3         445         536
          20          11          14           4         652         738
          20          11          14           5         486         561
          20          11          14           6         492         584
          20          11          14           7         657         751
          20          11          14           8         514         593
          20          11          14           9         636         717
          20          11          14          10         445         584
          20          11          14          11         539         653
          58          11          21           0         543         660
          58          11          21           1         291         381
          58          11          21           2         552         648
          58          11          21           3         371         455
          58          11          21           4         234         328
          58          11          21           8         501         619
          58          11          21           9         418         504
          58          11          21          10         394         474
          58          11          21          11         445         524
          58          11          21          12         405         503
          58          11          22           0         346         487
          58          11          22           1         461         569
          58          11          22           2         429         553
          58          11          22           3         320         397
          58          11          22           4         553         654
          58          11          22           5         289         401
          58          11          22           6         399         484
          58          11          22           7         542         728
          58          11          22           8         611         704
          58          11          22           9         545         667
          58          11          22          10         572         717
          58          11          22          11         285         408
          24          11           9          10         418         537
          24          11           9          11         351         468
          24          11           9          12         464         600
          24          11           9          13         254         372
          24          11           9          14         413         521
          24          11          10           0         374         474
          24          11          10           1         403         487
          24          11          10           2         529         629
          24          11          10           3         431         515
          24          11          10           4         474         569
          58          11          23           0         426         570
          58          11          23           1         516         662
          58          11          23           2         561         706
          58          11          23           3         330         466
          58          11          23           4         330         470
          58          11          23           5         401         530
          58          11          23           6         363         491
          58          11          23           7         311         442
          58          11          23           8         326         456
          58          11          23           9         487         626
          58          11          23          10         428         565
          58          11          23          11         502         638
          24          11           9           5         413         565
          24          11           9           6         430         593
          24          11           9           7         404         548
          24          11           9           8         412         561
          24          11           9           9         387         544
          24          11          10           5         502         647
          24          11          10           6         405         553
          24          11          10           7         380         517
          24          11          10           8         475         605
          24          11          10           9         374         501
          25          11           8           0         411         525
          25          11           8           1         656         757
          25          11           8           2         546         653
          25          11           8           3         432         526
          25          11           8           4         426         524
          25          11           8           5         454         557
          25          11           8           6         575         686
          25          11           8           7         430         540
          25          11           8           8         681         774
          25          11           8           9         402         483
          25          11           8          10         613         710
          25          11           8          11         497         605
          24          11           9           0         594         738
          24          11           9           1         543         677
          24          11           9           2         505         621
          24          11           9           3         368         511
          24          11           9           4         518         639
          24          11          10          10         523         641
          24          11          10          11         333         446
          24          11          10          12         340         450
          24          11          10          13         410         526
          24          11          10          14         481         590
          24          11           8           0         584         706
          24          11           8           1         558         630
          24          11           8           2         405         497
          24          11           8           3         431         512
          24          11           8           4         545         621
          24          11           8           5         411         520
          24          11           8           6         452         562
          24          11           8           7         617         702
          24          11           8           8         628         717
          24          11           8           9         432         508
          24          11           8          10         669         756
          24          11           8          11         492         600
          24          11          11           0         481         556
          24          11          11           1         561         643
          24          11          11           2         432         504
          24          11          11           3         553         691
          24          11          11           4         506         594
          24          11          11           8         538         649
          24          11          11           9         491         588
          24          11          11          10         266         356
          24          11          11          11         445         529
          24          11          11          12         271         362
          24          11          12           0         429         626
          24          11          12           1         538         669
          24          11          12           2         507         659
          24          11          12           3         603         736
          24          11          12           4         436         555
          24          11          12           5         572         693
          24          11          12           6         525         712
          24          11          12           7         578         796
          24          11          12           8         542         646
          24          11          12           9         587         756
          24          11          12          10         441         620
          24          11          12          11         476         600
          25          11           9          10         315         475
          25          11           9          11         315         475
          25          11           9          12         474         644
          25          11           9          13         536         709
          25          11           9          14         319         452
          25          11          10           0         353         486
          25          11          10           1         465         591
          25          11          10           2           0           0
          25          11          10           3         385         501
          25          11          10           4         277         379
          24          11          13           0         409         562
          24          11          13           1         562         681
          24          11          13           2         454         572
          24          11          13           3         480         578
          24          11          13           4         385         487
          24          11          13           5         411         507
          24          11          13           6         321         424
