#Fri Nov  8 19:02:09 2024
# Copy this file into $DB_DIR/gemped to use these pedestals for analysis
# format = crate, slot, mpd, adc_ch, CM mean, CM RMS
          24          11           0           0         502.25         15.998
          24          11           0           1         554.86          16.25
          24          11           0           2          452.5         15.347
          24          11           0           3         514.57         15.728
          24          11           0           4         536.33         15.367
          24          11           0           5          481.2          14.42
          24          11           0           6         555.54         15.226
          24          11           0           7         508.03         19.169
          24          11           0           8         432.77         13.559
          24          11           0           9         511.84         14.245
          24          11           0          10         505.01         14.677
          24          11           0          11         532.17         16.723
          24          11           0          12         423.87         11.649
          24          11           0          13         493.85         12.255
          24          11           0          14         543.48         12.518
          24          11           1           0         577.68         8.0163
          24          11           1           1         551.89         11.148
          24          11           1           2          443.2         16.737
          24          11           1           4         502.58         16.623
          24          11           1           5         601.66         13.207
          24          11           1           6         510.75          12.36
          24          11           1           7         524.43         13.862
          24          11           1           8         546.13         13.264
          24          11           1           9         409.25         11.426
          24          11           1          10         506.42         15.389
          24          11           1          11         412.18         10.647
          24          11           1          12         608.93         9.2688
          24          11           1          13         530.81         10.568
          24          11           1          14         292.45         9.2929
          24          11           2           3         406.45         9.6338
          24          11           2           2         452.28         10.386
          24          11           2           1         541.26         11.607
          24          11           2           0         424.93         12.347
          24          11           2           7         322.34         14.049
          24          11           2           6         396.68         16.176
          24          11           2           5         502.68         17.004
          24          11           2           4         524.53         12.937
          24          11           2          14         555.07         11.528
          24          11           2          13         505.67         12.608
          24          11           2          12         448.06         10.763
          24          11           2          11         540.79         13.519
          24          11           2          10         560.54         12.239
          24          11           2           9         581.65         12.412
          24          11           2           8         499.49         13.383
          24          11           3           3          592.5           15.3
          24          11           3           2         540.64         15.309
          24          11           3           1         552.19         14.244
          24          11           3           0         502.53         14.488
          24          11           3           7         539.77         13.955
          24          11           3           6         491.31         12.612
          24          11           3           5         471.92         13.454
          24          11           3           4         494.21         12.311
          24          11           3          13         437.45         8.6916
          24          11           3          12         411.35         11.284
          24          11           3          11         518.21         12.156
          24          11           3          10         468.71         11.357
          24          11           3           9         473.59         10.612
          24          11           3           8         579.99         12.745
          24          11           4           0         364.37         14.571
          24          11           4           1         330.07         15.215
          24          11           4           2          471.1         16.668
          24          11           4           3         533.36         15.454
          24          11           4           4         625.29         16.252
          24          11           4           5         388.32          17.98
          24          11           4           6         374.61         16.605
          24          11           4           7         509.07         16.876
          24          11           4           8         541.07         14.451
          24          11           4           9         448.74         17.093
          24          11           4          10         534.94         13.269
          24          11           4          11         494.46         18.175
          24          11           4          12         329.31         16.812
          24          11           4          13         463.46         17.032
          24          11           4          14         443.05         23.079
          24          11           5           0         533.15         18.415
          24          11           5           1         613.82         16.452
          24          11           5           2         634.47         17.844
          24          11           5           4         399.76         14.961
          24          11           5           5         480.95         12.513
          24          11           5           6            521           12.3
          24          11           5           7         524.94          13.86
          24          11           5           8         492.48         12.603
          24          11           5           9         449.04         13.134
          24          11           5          10         483.61         11.278
          24          11           5          11         535.64          11.43
          24          11           5          12         513.89         8.6693
          24          11           5          13         473.49         7.9816
          24          11           5          14         450.92         8.9969
          24          11           6           3         560.04         7.4638
          24          11           6           2         494.09         9.8049
          24          11           6           1         594.72         12.907
          24          11           6           0         548.25         14.692
          24          11           6           7         530.37         14.872
          24          11           6           6         401.73         17.143
          24          11           6           5         468.09         17.537
          24          11           6           4         572.59         15.268
          24          11           6          14         471.28         13.518
          24          11           6          13         543.62         15.698
          24          11           6          12         550.59         15.877
          24          11           6          11              0              0
          24          11           6          10         505.87         13.417
          24          11           6           9         511.61         14.353
