#Fri Jan 31 18:07:11 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0          -3.966           31.15
               1          -6.823           26.09
               2          -4.599           23.06
               3          -1.381           23.59
               4          -1.769           9.815
               5           2.612           7.563
               6         -0.9932           10.18
               7          -1.912           7.858
               8           1.082            7.22
               9          0.4082           7.644
              10          0.1156           7.167
              11          -1.054           8.303
              12        -0.09524           7.647
              13           2.735           8.151
              14           3.354           7.313
              15          0.9864            8.27
              16           2.905           7.964
              17         -0.7211           7.038
              18            1.02           10.97
              19           1.673           7.232
              20          -1.939           8.182
              21        0.006803           6.279
              22            1.81           7.708
              23           1.544           7.025
              24              -1           7.317
              25          -1.429           6.731
              26         -0.7347           6.725
              27          0.7687           7.146
              28           1.109           6.708
              29         -0.3946           7.927
              30            2.51            6.64
              31          0.8163           7.307
              32         -0.8163           8.004
              33           0.415           6.866
              34          -1.633           8.629
              35            1.19           7.535
              36           1.109           7.235
              37          -1.653           7.148
              38           -1.51           8.384
              39               0           7.251
              40           1.388             7.9
              41         -0.8844           6.686
              42           1.245           8.734
              43            1.17           7.511
              44          0.7347           8.019
              45           1.844           8.478
              46           2.735           7.349
              47           1.796           7.734
              48          -1.408           8.024
              49          -1.354           6.288
              50          0.6803           9.775
              51           0.449           6.767
              52          0.8299           7.639
              53         -0.7687           6.832
              54           4.741           7.357
              55           0.517           6.784
              56          -3.027           7.585
              57           -1.85           7.753
              58          -1.388           6.627
              59              -1           7.673
              60          0.5238           6.442
              61         -0.3197           9.099
              62         -0.6531           6.976
              63         -0.4354           8.037
              64          -3.571           7.838
              65           -1.02           7.065
              66         -0.2313           9.674
              67          0.5374           7.302
              68           2.007           7.924
              69           -1.98           6.056
              70          -1.476           8.983
              71        -0.04082           7.589
              72         -0.8571            7.34
              73          -2.109           6.936
              74          0.3605            7.39
              75         -0.3605           7.482
              76          0.7687           6.951
              77          0.6803           7.046
              78          0.5714           7.185
              79           1.265           8.933
              80          0.6803           8.445
              81           -1.02           6.333
              82         -0.7823           9.481
              83           2.027           6.999
              84          -1.531           8.173
              85         -0.2585           6.386
              86          0.8776            6.75
              87           2.456           6.647
              88         -0.7755            6.37
              89           1.211           8.063
              90            1.68           6.507
              91          -2.483           7.498
              92          -1.517           6.624
              93           0.898            8.02
              94           2.605           5.671
              95           1.442           9.302
              96          -1.816           7.866
              97          -1.782           6.951
              98          0.8639           10.12
              99         -0.6803           8.621
             100         -0.2585           8.132
             101          -1.333           6.327
             102          0.4626           7.593
             103         -0.1156           8.183
             104          -1.395           7.219
             105          -1.456           7.872
             106           1.558            7.68
             107          -1.109           7.658
             108           2.054           7.178
             109         -0.8095           7.519
             110           1.211           7.775
             111          0.1769           8.469
             112          -1.156           7.421
             113           -1.85           6.813
             114           4.898           8.629
             115           2.061            6.69
             116         -0.2653           7.327
             117          0.6327           7.073
             118          0.3469           6.934
             119          0.2653           6.926
             120         -0.7143           6.402
             121          0.1497           6.377
             122           1.395           6.935
             123           1.639           7.107
             124         -0.6122           6.845
             125            2.19           8.843
             126           -1.81           5.716
             127          0.7211           9.477
APV               58              11               0               1
               0          -1.442           31.17
               1          -4.864           27.17
               2            2.49           23.42
               3            1.34           24.23
               4           1.367           9.628
               5          -1.884           7.728
               6          -1.959           10.93
               7           -1.81           8.856
               8           2.027           8.677
               9          0.8571           7.808
              10          0.2653           8.199
              11          0.7415           8.849
              12         0.01361           9.266
              13          -1.163           7.164
              14            1.98            7.63
              15          0.5238           8.986
              16          -1.816           8.104
              17         -0.5918           7.218
              18         -0.5102           12.34
              19           2.905            7.46
              20         0.04762           7.817
              21          -2.524           7.233
              22          0.6803           8.413
              23           2.741           7.121
              24          -0.415           6.994
              25          -2.701           7.597
              26        -0.01361           7.264
              27           1.068           6.901
              28          -0.381           7.201
              29         -0.7823           8.629
              30         -0.2721           6.933
              31          0.8231           8.225
              32         -0.9388           9.106
              33          -1.463           7.883
              34         0.09524           7.993
              35           2.789            8.61
              36          -1.687           7.845
              37           1.401           7.672
              38         -0.6871           8.416
              39         -0.3333           8.683
              40          0.7007           7.328
              41         -0.4286           7.659
              42         -0.6871           9.233
              43           3.599           9.068
              44           1.925           7.621
              45         -0.7211           7.879
              46           1.054           7.575
              47          0.6939           8.421
              48          -1.599           8.584
              49         -0.7415           6.627
              50         -0.6122           10.89
              51          0.7483           6.679
              52          -3.347           7.644
              53          0.7211           7.553
              54           2.687           7.642
              55          0.9592           6.552
              56          -1.293           7.279
              57          -2.932           7.095
              58         -0.4218           7.034
              59          0.4558           7.736
              60          -1.741           6.819
              61         0.04082           9.391
              62           2.537           6.948
              63           2.014           9.022
              64         -0.7687           7.778
              65          -1.041           6.998
              66         -0.1293           9.826
              67           1.245           9.086
              68         0.02721           8.191
              69          -2.435           7.021
              70         -0.8639           9.342
              71           0.449           7.937
              72           1.361           8.462
              73         -0.7143           6.808
              74         -0.7347           7.932
              75           1.578           8.144
              76         -0.1769           7.944
              77          -2.537            7.59
              78          -1.408           7.632
              79          0.9048           8.521
              80          -1.633           8.923
              81         -0.7483           6.799
              82         -0.2041            9.26
              83           1.136           6.708
              84         -0.7483           7.709
              85           -2.02           7.368
              86           4.891           7.067
              87         0.04082           6.841
              88         -0.9456           6.881
              89         -0.4422           6.786
              90            3.02           7.088
              91           1.714            7.22
              92               0           7.134
              93         0.02721            8.56
              94          0.5986           6.831
              95           1.429           8.631
              96          -1.095             8.5
              97           1.435            7.23
              98           1.531           10.37
              99         -0.3469           8.566
             100         -0.3061           7.894
             101          -1.347            7.93
             102         -0.4354           8.366
             103           1.816           8.025
             104         -0.1429            7.73
             105         -0.2449           8.546
             106         -0.1769            8.29
             107         -0.5034           8.334
             108         -0.3265           6.919
             109          -2.789           7.871
             110          -2.313           8.221
