#Sun Feb  9 11:36:29 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           13.78           26.18
               1           9.054           24.26
               2           1.612           21.48
               3           1.007           21.55
               4          0.8299           9.211
               5          -1.075           8.055
               6           2.238           12.28
               7          0.3197           8.979
               8          0.5102           7.438
               9         -0.6259           7.294
              10          -1.415           7.817
              11          0.2857           7.943
              12          -3.224           9.747
              13          -0.966           7.372
              14           1.259            9.09
              15            1.34           8.873
              16          0.1429            7.86
              17          -1.027           6.618
              18         -0.8027           13.21
              19          -2.544           7.028
              20          -2.333           8.275
              21          -1.769           6.982
              22         -0.5102             8.9
              23           1.272           6.502
              24         -0.7007           7.241
              25          -2.075           7.542
              26          0.2585           7.588
              27               2           7.334
              28          -2.714           7.693
              29          -3.156           8.708
              30          0.4082           6.433
              31         -0.2041           8.643
              32          -1.299           8.582
              33          -2.435           8.267
              34           1.537           11.83
              35          0.1429           7.909
              36          -1.354           7.859
              37          -2.803           7.528
              38          -0.619           8.185
              39           2.361           9.456
              40           -3.02           8.257
              41         -0.3537           6.913
              42         -0.5782           9.997
              43          0.2517           8.428
              44         -0.3265           8.434
              45          0.1837           9.123
              46          0.6939           8.602
              47          0.2857             9.1
              48              -1           7.962
              49         -0.6327           7.305
              50          0.3401           11.27
              51           1.789           6.784
              52          -2.789           8.023
              53           2.918           6.928
              54           1.306            7.59
              55           1.476            6.22
              56          0.3605           7.473
              57          -1.612           7.648
              58           2.048           7.809
              59           3.551            8.14
              60          -1.272           7.579
              61          -2.925           9.196
              62          0.1973           6.403
              63           1.415           8.758
              64          -2.721           7.393
              65          -1.286           7.066
              66           1.238           11.35
              67          0.5306           9.139
              68          0.5238           8.107
              69          -2.401           7.125
              70         -0.4558           10.26
              71         -0.3605           7.491
              72          -4.143            8.82
              73         -0.4218            7.46
              74          0.5238           9.632
              75           2.088           8.986
              76          -4.259           7.313
              77         -0.3673           7.824
              78          0.4286           8.269
              79            1.66           9.311
              80          -1.034           8.325
              81          0.1497           7.284
              82         -0.7007           10.27
